team,odds_betfair,odds_bwin,odds_bet365,odds_tonybet,odds_winamax,odds_interwetten,avg_odds,implied_probability,implied_norm_probability
Spain,5.5,5.0,5.5,5.55,6.0,5.75,5.55,18.02,15.094655721226335
England,7.0,6.5,6.5,6.66,7.0,6.75,6.74,14.84,12.430892946892277
France,7.5,8.0,9.0,8.99,8.0,9.0,8.42,11.88,9.951415647512148
Brazil,9.0,9.0,9.0,9.12,9.0,9.5,9.1,10.99,9.205897135198526
Argentina,9.0,9.0,9.0,9.15,9.0,9.5,9.11,10.98,9.197520522700621
Portugal,12.0,12.0,12.0,12.21,12.0,13.0,12.2,8.2,6.868822248282794
Germany,15.0,13.0,11.0,13.27,15.0,14.0,13.55,7.38,6.181940023454515
Netherlands,21.0,17.0,21.0,21.2,25.0,22.0,21.2,4.72,3.9537610990115595
Norway,26.0,26.0,26.0,26.71,30.0,27.0,26.95,3.71,3.107723236723069
Belgium,34.0,34.0,34.0,34.97,50.0,35.0,36.33,2.75,2.303568436924108
Italy,34.0,34.0,34.0,34.44,45.0,35.0,36.08,2.77,2.3203216619199196
Colombia,34.0,34.0,34.0,50.3,50.0,50.0,42.05,2.38,1.9936337745015915
Morocco,67.0,67.0,51.0,55.0,75.0,55.0,61.67,1.62,1.3570112246607473
United States,51.0,51.0,81.0,79.3,75.0,80.0,69.55,1.44,1.206232199698442
Uruguay,81.0,41.0,67.0,66.5,100.0,70.0,70.92,1.41,1.1811023622047243
Mexico,81.0,51.0,67.0,68.5,100.0,70.0,72.75,1.37,1.1475959122131012
Ecuador,67.0,67.0,81.0,81.3,100.0,85.0,80.22,1.25,1.047076562238231
Croatia,81.0,67.0,101.0,79.5,100.0,80.0,84.75,1.18,0.9884402747528899
Japan,81.0,81.0,101.0,96.3,100.0,100.0,93.22,1.07,0.8962975372759258
Switzerland,101.0,81.0,101.0,88.1,100.0,90.0,93.52,1.07,0.8962975372759258
Senegal,101.0,101.0,101.0,146.0,100.0,150.0,116.5,0.86,0.7203886748199029
Denmark,126.0,81.0,125.0,126.0,150.0,130.0,123,0.81,0.6785056123303737
Austria,176.0,151.0,151.0,154.0,200.0,160.0,165.33,0.6,0.5025967498743509
Paraguay,251.0,151.0,151.0,157.0,300.0,160.0,211.67,0.47,0.39370078740157477
Turkey,151.0,201.0,201.0,209.0,200.0,225.0,197.83,0.51,0.42720723739319816
Scotland,251.0,151.0,251.0,249.0,200.0,250.0,225.17,0.44,0.36857094990785727
Canada,126.0,151.0,251.0,251.0,300.0,250.0,221.5,0.45,0.37694756240576316
Sweden,251.0,101.0,301.0,297.0,300.0,300.0,258.33,0.39,0.32668788741832805
Ivory Coast,301.0,201.0,301.0,297.0,500.0,300.0,316.67,0.32,0.2680515999329871
Egypt,301.0,151.0,301.0,298.0,300.0,300.0,275.17,0.36,0.3015580499246105
Poland,301.0,251.0,301.0,303.0,600.0,300.0,342.67,0.29,0.24292176243926955
Algeria,301.0,101.0,401.0,388.0,500.0,400.0,348.5,0.29,0.24292176243926955
Ghana,501.0,251.0,401.0,384.0,600.0,375.0,418.67,0.24,0.2010386999497403
Wales,251.0,251.0,401.0,391.0,1000.0,400.0,449,0.22,0.18428547495392864
South Korea,301.0,151.0,501.0,457.0,400.0,450.0,376.67,0.27,0.2261685374434579
Ukraine,201.0,501.0,501.0,478.0,1000.0,500.0,530,0.19,0.15915563746021108
Czech Republic,201.0,251.0,501.0,482.0,1000.0,500.0,489.17,0.2,0.16753224995811694
Slovakia,501.0,251.0,501.0,498.0,1000.0,500.0,541.83,0.18,0.15077902496230525
Bolivia,501.0,501.0,501.0,498.0,1000.0,500.0,583.5,0.17,0.1424024124643994
Romania,251.0,251.0,1001.0,501.0,1000.0,950.0,659,0.15,0.12564918746858772
Ireland,301.0,501.0,1001.0,501.0,300.0,950.0,592.33,0.17,0.1424024124643994
North Macedonia,501.0,501.0,2001.0,501.0,1000.0,1800.0,1050.5,0.1,0.08376612497905847
South Africa,501.0,501.0,1001.0,501.0,1000.0,950.0,742.33,0.13,0.10889596247277603
Tunisia,501.0,251.0,501.0,501.0,1000.0,500.0,542.33,0.18,0.15077902496230525
DR Congo,501.0,-,751.0,501.0,1000.0,800.0,710.6,0.14,0.11727257497068186
New Zealand,1001.0,501.0,1501.0,501.0,1000.0,1400.0,984,0.1,0.08376612497905847
Qatar,1001.0,501.0,1001.0,501.0,1000.0,1000.0,834.17,0.12,0.10051934997487015
Northern Ireland,1001.0,501.0,2501.0,501.0,1000.0,2500.0,1334,0.07,0.05863628748534093
Saudi Arabia,1001.0,501.0,1001.0,501.0,1000.0,1000.0,834.17,0.12,0.10051934997487015
Cape Verde,1001.0,501.0,2001.0,501.0,1000.0,1800.0,1134,0.09,0.07538951248115262
Curacao,1001.0,1001.0,2001.0,501.0,5000.0,1900.0,2067.17,0.05,0.041883062489529235
Haiti,1001.0,1001.0,3001.0,501.0,2500.0,3000.0,1834,0.05,0.041883062489529235
Iraq,1001.0,1501.0,1501.0,501.0,1000.0,1500.0,1167.33,0.09,0.07538951248115262
Jamaica,1001.0,501.0,1501.0,501.0,2500.0,1500.0,1250.5,0.08,0.06701289998324678
Jordan,1001.0,501.0,2501.0,501.0,1000.0,2500.0,1334,0.07,0.05863628748534093
Kosovo,1001.0,501.0,1501.0,501.0,1000.0,1400.0,984,0.1,0.08376612497905847
Panama,1001.0,751.0,1501.0,501.0,1000.0,1400.0,1025.67,0.1,0.08376612497905847
Suriname,1001.0,-,2001.0,501.0,5000.0,3000.0,2300.6,0.04,0.03350644999162339
Uzbekistan,1001.0,501.0,2001.0,501.0,1000.0,1800.0,1134,0.09,0.07538951248115262
Albania,501.0,251.0,1501.0,501.0,1000.0,1400.0,859,0.12,0.10051934997487015
Australia,301.0,501.0,501.0,501.0,500.0,500.0,467.17,0.21,0.17590886245602277
Bosnia and Herzegovina,501.0,251.0,1501.0,501.0,-,1400.0,830.8,0.12,0.10051934997487015
Costa Rica,-,501.0,-,-,-,-,501,0.2,0.16753224995811694
El Salvador,-,1001.0,-,-,-,-,1001,0.1,0.08376612497905847
Honduras,-,751.0,-,-,-,-,751,0.13,0.10889596247277603
Iran,501.0,501.0,501.0,-,1000.0,550.0,610.6,0.16,0.13402579996649355
New Caledonia,-,-,-,-,7500.0,-,7500,0.01,0.008376612497905847
