team,wc_titles,wc_finals,wc_semis,wc_last_win_year,wc_last_final_year,wc_last_semi_year,cont_titles,cont_finals,cont_semis,cont_last_win_year,cont_last_final_year,cont_last_semi_year,last_world_cup_participation,last_continental_participation
Spain,1,1,2,2010,2010,2010,3,3,4,2024,2024,2024,2022,2024
Argentina,3,6,15,2022,2014,2022,15,17,17,2021,2015,2021,2022,2024
France,2,4,7,2018,2022,2022,2,3,5,2016,2021,2021,2022,2024
England,1,2,4,1966,2021,2018,0,1,2,,2021,2021,2022,2024
Brazil,5,7,11,2002,1998,2014,9,14,22,2021,2019,2021,2022,2024
Portugal,0,1,2,,2016,2006,1,2,2,2016,2024,2024,2022,2024
Netherlands,0,3,5,,2010,2014,0,1,5,,2004,2004,2022,2024
Morocco,0,1,1,,2022,2022,0,1,1,,2022,2022,2022,2024
Belgium,0,1,2,,2018,2018,0,1,1,,1980,1980,2022,2024
Germany,4,8,13,2014,2002,2014,3,4,9,2016,2016,2016,2022,2024
Croatia,0,1,3,,2018,2022,0,1,1,,1998,1998,2022,2024
Senegal,0,0,0,,,,0,1,1,,2021,2021,2022,2024
Italy,4,6,8,2006,1994,2006,2,3,7,2021,2021,2021,2022,2024
Colombia,0,0,1,,2014,2014,1,1,2,2001,2021,2021,2018,2024
United States,0,0,0,,,,7,12,12,2023,2023,2023,2022,2024
Mexico,0,0,0,,,,12,17,17,2023,2023,2023,2022,2024
Uruguay,2,4,5,1950,1930,2010,15,19,19,2021,2021,2021,2022,2024
Switzerland,0,0,0,,,,0,0,1,,,2024,2022,2024
Japan,0,0,0,,,,4,7,7,2023,2023,2023,2022,2024
Iran,0,0,0,,,,0,0,1,,,2019,2022,2023
Denmark,0,1,1,,1998,1998,1,1,3,1992,2021,2021,2022,2024
South Korea,0,1,1,,2002,2002,2,2,6,2023,2023,2023,2022,2024
Ecuador,0,0,0,,,,0,0,1,,,2021,2022,2024
Austria,0,0,0,,,,0,0,1,,,2024,2022,2024
Turkey,0,0,1,,2002,2002,0,0,1,,,2008,2022,2024
Australia,0,0,0,,,,0,0,1,,,2015,2022,2023
Algeria,0,0,0,,,,2,2,3,2019,2019,2019,2022,2023
Canada,0,0,0,,,,2,2,3,2023,2023,2023,2022,2024
Ukraine,0,0,1,,2006,2006,0,0,1,,,2021,2022,2024
Egypt,0,0,0,,,,7,12,12,2021,2021,2021,2022,2024
Norway,0,0,0,,,,0,0,1,,,2024,2022,2024
Panama,0,0,0,,,,1,1,1,2023,2023,2023,2018,2023
Poland,0,0,1,,1982,1982,0,0,1,,,2016,2022,2024
Wales,0,0,1,,1958,1958,0,0,1,,,2016,2022,2024
Ivory Coast,0,0,0,,,,2,2,4,2015,2023,2023,2022,2024
Scotland,0,0,0,,,,0,0,1,,,2024,2022,2024
Paraguay,0,0,1,,2010,2010,0,0,2,,,2011,2022,2024
Sweden,0,1,4,,1958,1994,1,1,4,2024,2024,2024,2022,2024
Czech Republic,0,0,1,,2002,2002,1,1,3,1976,2021,2021,2022,2024
Slovakia,0,0,0,,,,0,0,0,,,2024,2022,2024
Tunisia,0,0,0,,,,1,1,2,2004,2004,2004,2022,2024
DR Congo,0,0,0,,,,2,2,3,2015,2015,2015,2022,2024
Romania,0,0,1,,1994,1994,0,0,1,,,2000,2022,2024
Uzbekistan,0,0,0,,,,0,0,0,,,2023,2026,2024
Qatar,0,0,0,,,,1,1,1,2019,2019,2019,2022,2023
Iraq,0,0,0,,,,1,1,1,2007,2007,2007,2022,2023
Republic of Ireland,0,0,1,,1990,1990,0,0,1,,,1988,2022,2024
South Africa,0,0,0,,,,1,1,1,1996,1996,1996,2010,2024
Saudi Arabia,0,0,0,,,,3,3,4,1996,1996,1996,2022,2024
Albania,0,0,0,,,,0,0,0,,,2024,2024,2024
Jordan,0,0,0,,,,0,0,1,,,2023,2026,2024
North Macedonia,0,0,0,,,,0,0,0,,,2024,2024,2024
Cape Verde,0,0,0,,,,0,0,1,,,2023,2026,2024
Northern Ireland,0,0,1,,1958,1958,0,0,1,,,2016,2022,2024
Jamaica,0,0,0,,,,1,1,1,2015,2015,2015,2022,2023
Bosnia and Herzegovina,0,0,0,,,,0,0,0,,,2024,2022,2024
Ghana,0,0,1,,2010,2010,4,4,7,2023,2023,2023,2022,2024
Bolivia,0,0,0,,,,1,1,1,1997,1997,1997,2022,2023
Kosovo,0,0,0,,,,0,0,0,,,2024,2024,2024
Curaçao,0,0,0,,,,0,0,0,,,2023,2024,2024
Haiti,0,0,0,,,,1,1,1,2019,2019,2019,2022,2023
New Zealand,0,0,0,,,,5,5,7,2024,2024,2024,2022,2024
Suriname,0,0,0,,,,0,0,0,,,2023,2026,2024
New Caledonia,0,0,0,,,,0,0,0,,,2023,2026,2024
