team_a,Algeria,Argentina,Australia,Austria,Belgium,Bosnia and Herzegovina,Brazil,Canada,Cape Verde,Colombia,Croatia,Curaçao,Czech Republic,DR Congo,Ecuador,Egypt,England,France,Germany,Ghana,Haiti,Iran,Iraq,Ivory Coast,Japan,Jordan,Mexico,Morocco,Netherlands,New Zealand,Norway,Panama,Paraguay,Portugal,Qatar,Saudi Arabia,Scotland,Senegal,South Africa,South Korea,Spain,Sweden,Switzerland,Tunisia,Turkey,United States,Uruguay,Uzbekistan
Algeria,,-0.7879999999999999,-0.1276666666666666,0.0693333333333333,-0.3046666666666666,0.8093333333333335,-0.2640000000000001,0.002,0.4716666666666667,-0.0806666666666666,-0.3239999999999999,0.6866666666666668,0.5443333333333333,0.3643333333333333,0.1090000000000001,0.043,-0.6496666666666667,-0.7230000000000001,-0.2573333333333333,0.3760000000000001,0.7819999999999999,-0.1566666666666667,0.5713333333333332,0.1193333333333334,-0.3436666666666667,0.6526666666666666,-0.3540000000000001,-0.4726666666666668,-0.6726666666666666,0.3376666666666665,0.0246666666666666,0.085,0.5056666666666666,-0.4366666666666667,0.6556666666666665,0.5900000000000001,0.3676666666666666,-0.0816666666666666,0.665,-0.2059999999999999,-0.6759999999999999,0.6106666666666666,-0.2476666666666667,0.554,0.0576666666666666,-0.2766666666666667,-0.0893333333333333,0.512
Argentina,0.7879999999999999,,0.988,1.1863333333333337,0.926,1.3263333333333334,0.3873333333333334,0.8886666666666667,0.9479999999999998,0.414,0.616,1.373,1.3443333333333332,1.3473333333333333,0.94,1.178,0.3316666666666665,0.0486666666666666,0.6426666666666666,1.005,1.121,0.94,1.405333333333333,1.163333333333333,0.8656666666666666,1.262,0.8213333333333332,0.5826666666666666,0.6956666666666665,0.844,1.2240000000000002,1.0873333333333337,0.6056666666666667,0.6393333333333333,1.2333333333333334,1.4076666666666666,1.4103333333333334,0.8536666666666668,1.4116666666666666,1.012,0.0803333333333332,1.5496666666666667,1.0043333333333333,1.3233333333333333,1.2080000000000002,0.9716666666666668,0.9413333333333334,1.1853333333333331
Australia,0.1276666666666666,-0.988,,0.0366666666666666,-0.3153333333333333,0.965,-0.3223333333333332,-0.0123333333333333,0.656,-0.1133333333333332,-0.3663333333333333,0.8363333333333333,0.6083333333333333,0.513,0.1476666666666667,0.031,-0.5786666666666667,-0.815,-0.2250000000000001,0.4413333333333333,0.8266666666666667,-0.1696666666666667,0.6213333333333334,0.1303333333333334,-0.4026666666666667,0.7410000000000001,-0.4076666666666667,-0.569,-0.6656666666666667,0.3106666666666666,0.0893333333333333,0.092,0.5703333333333332,-0.406,0.7196666666666667,0.5473333333333333,0.4476666666666666,-0.3383333333333332,0.7366666666666667,-0.0633333333333333,-0.7293333333333334,0.6226666666666667,-0.2163333333333333,0.5163333333333333,0.0933333333333334,-0.2853333333333332,-0.0873333333333332,0.4379999999999999
Austria,-0.0693333333333333,-1.1863333333333337,-0.0366666666666666,,-0.4403333333333333,0.5666666666666667,-0.5603333333333333,-0.1156666666666668,0.415,-0.2749999999999999,-0.5463333333333332,0.62,0.4293333333333333,0.38,0.0283333333333333,-0.08,-0.8566666666666667,-0.8666666666666666,-0.4670000000000001,0.1869999999999999,0.6263333333333334,-0.2883333333333334,0.4426666666666666,0.0333333333333333,-0.5736666666666668,0.6763333333333333,-0.5853333333333334,-0.7283333333333334,-0.8293333333333334,0.1763333333333333,-0.1103333333333332,-0.0046666666666667,0.4920000000000001,-0.706,0.4843333333333333,0.4750000000000001,0.1516666666666666,-0.5136666666666666,0.6356666666666667,-0.3053333333333332,-0.6456666666666667,0.5036666666666667,-0.5030000000000001,0.4646666666666667,-0.0243333333333333,-0.4793333333333333,-0.3750000000000001,0.3543333333333333
Belgium,0.3046666666666666,-0.926,0.3153333333333333,0.4403333333333333,,0.974,-0.0283333333333333,0.5366666666666666,0.8986666666666666,0.308,0.0926666666666666,1.229666666666667,0.7853333333333334,0.8513333333333334,0.801,0.6336666666666667,-0.6236666666666667,-0.6093333333333333,0.01,0.7076666666666668,1.1746666666666663,0.5673333333333334,0.957,0.7066666666666667,0.1843333333333332,1.0893333333333333,0.2489999999999999,-0.2766666666666667,-0.1046666666666666,0.6653333333333333,0.614,0.675,1.0076666666666667,-0.301,1.0173333333333332,0.9539999999999998,0.8939999999999999,0.0906666666666666,1.024333333333333,0.5283333333333333,-0.5436666666666667,1.1113333333333333,0.4383333333333333,0.8523333333333334,0.8083333333333333,0.1936666666666666,0.413,0.7070000000000001
Bosnia and Herzegovina,-0.8093333333333335,-1.3263333333333334,-0.965,-0.5666666666666667,-0.974,,-0.9476666666666668,-0.94,-0.2289999999999999,-0.6839999999999999,-0.8676666666666668,0.254,-0.4733333333333333,-0.4363333333333332,-0.5870000000000001,-0.7166666666666667,-1.157333333333333,-1.0353333333333332,-0.791,-0.3673333333333333,0.294,-0.7093333333333335,-0.4026666666666666,-0.6416666666666666,-0.8656666666666667,-0.2506666666666666,-0.8166666666666667,-0.963,-1.1663333333333332,0.0393333333333332,-0.8463333333333333,-0.649,-0.4156666666666666,-0.9166666666666664,-0.3246666666666665,-0.3763333333333333,-0.4946666666666666,-0.8413333333333334,-0.2786666666666667,-0.7823333333333333,-0.7436666666666667,-0.3899999999999999,-0.8856666666666666,-0.3526666666666667,-0.6163333333333333,-0.7340000000000001,-0.6140000000000001,-0.5986666666666666
Brazil,0.2640000000000001,-0.3873333333333334,0.3223333333333332,0.5603333333333333,0.0283333333333333,0.9476666666666668,,0.434,0.6453333333333333,0.0996666666666666,-0.026,0.9526666666666666,0.7266666666666668,0.5990000000000001,0.5903333333333334,0.4653333333333332,-0.8559999999999999,-0.8116666666666666,0.0283333333333333,0.4626666666666668,1.0166666666666666,0.386,0.7016666666666665,0.4226666666666667,0.0839999999999999,0.8906666666666667,0.1793333333333333,-0.2616666666666666,-0.1423333333333333,0.3713333333333333,0.4473333333333333,0.5076666666666667,0.672,-0.2269999999999999,0.786,0.8056666666666666,0.732,0.1099999999999999,0.7653333333333334,0.3086666666666667,-0.7323333333333334,1.0476666666666667,0.2323333333333332,0.749,0.5946666666666666,0.0836666666666666,0.0223333333333333,0.4523333333333332
Canada,-0.002,-0.8886666666666667,0.0123333333333333,0.1156666666666668,-0.5366666666666666,0.94,-0.434,,0.623,-0.0706666666666667,-0.2996666666666666,0.7916666666666666,0.5209999999999999,0.4906666666666666,0.1356666666666666,0.0343333333333333,-0.6553333333333332,-0.6186666666666666,-0.2339999999999999,0.4573333333333333,0.7116666666666666,-0.1503333333333333,0.5810000000000001,0.1473333333333333,-0.3073333333333333,0.715,-0.1769999999999999,-0.5083333333333333,-0.6736666666666667,0.3063333333333332,0.0423333333333333,0.154,0.5413333333333332,-0.3726666666666666,0.6906666666666667,0.6273333333333333,0.382,-0.2203333333333332,0.761,-0.1496666666666667,-0.5369999999999999,0.5686666666666668,-0.2580000000000001,0.5926666666666668,0.0846666666666665,-0.1366666666666667,-0.0719999999999999,0.5586666666666668
Cape Verde,-0.4716666666666667,-0.9479999999999998,-0.656,-0.415,-0.8986666666666666,0.2289999999999999,-0.6453333333333333,-0.623,,-0.6593333333333332,-0.8023333333333333,0.4633333333333332,-0.1816666666666665,-0.1303333333333334,-0.1953333333333333,-0.3763333333333334,-1.0556666666666668,-1.2546666666666666,-0.781,-0.1023333333333332,0.4993333333333333,-0.3233333333333333,-0.0916666666666666,-0.3720000000000001,-0.4916666666666668,0.097,-0.6086666666666667,-0.7033333333333335,-1.0493333333333332,0.309,-0.4733333333333334,-0.3536666666666668,-0.081,-0.8476666666666668,-0.0753333333333332,-0.0799999999999999,-0.2243333333333332,-0.667,0.0233333333333333,-0.3753333333333333,-1.3126666666666666,-0.103,-0.522,-0.0756666666666666,-0.2853333333333332,-0.5413333333333333,-0.4106666666666666,-0.2699999999999999
Colombia,0.0806666666666666,-0.414,0.1133333333333332,0.2749999999999999,-0.308,0.6839999999999999,-0.0996666666666666,0.0706666666666667,0.6593333333333332,,-0.3143333333333333,1.0573333333333332,0.839,0.817,0.5583333333333333,0.3593333333333334,-0.8976666666666667,-0.8473333333333333,-0.2436666666666668,0.5160000000000001,0.9816666666666666,0.3413333333333332,0.7430000000000001,0.3886666666666666,-0.0606666666666666,0.905,-0.0686666666666666,-0.5763333333333334,-0.5016666666666666,0.4399999999999999,0.4580000000000001,0.2936666666666667,0.6593333333333333,-0.5426666666666665,0.853,0.819,0.8119999999999999,-0.204,0.9006666666666667,0.3143333333333333,-0.7773333333333333,1.0486666666666666,0.1849999999999999,0.914,0.6379999999999999,-0.0323333333333333,0.3933333333333334,0.5916666666666667
