team_a,Algeria,Argentina,Australia,Austria,Belgium,Bosnia and Herzegovina,Brazil,Canada,Cape Verde,Colombia,Croatia,Curaçao,Czech Republic,DR Congo,Ecuador,Egypt,England,France,Germany,Ghana,Haiti,Iran,Iraq,Ivory Coast,Japan,Jordan,Mexico,Morocco,Netherlands,New Zealand,Norway,Panama,Paraguay,Portugal,Qatar,Saudi Arabia,Scotland,Senegal,South Africa,South Korea,Spain,Sweden,Switzerland,Tunisia,Turkey,United States,Uruguay,Uzbekistan
Algeria,,51.56666666666667,27.96666666666667,24.4,36.766666666666666,10.7,33.33333333333333,27.46666666666667,16.166666666666664,29.06666666666667,35.43333333333333,11.133333333333336,12.833333333333332,13.733333333333334,23.666666666666668,25.366666666666664,50.3,49.766666666666666,33.1,19.466666666666665,10.133333333333333,31.066666666666663,10.466666666666669,19.366666666666667,35.733333333333334,13.233333333333333,36.56666666666666,39.7,51.53333333333333,18.96666666666667,26.6,21.96666666666667,13.3,38.93333333333333,10.133333333333333,9.9,16.900000000000002,29.8,9.0,30.633333333333333,49.73333333333333,11.533333333333331,37.73333333333333,10.7,23.1,34.2,30.0,14.000000000000002
Argentina,10.6,,8.066666666666666,5.866666666666666,8.9,3.266666666666666,3.8666666666666663,10.366666666666667,7.166666666666667,3.0,11.933333333333334,3.3666666666666663,4.366666666666666,3.966666666666667,2.533333333333333,6.333333333333334,21.8,27.366666666666667,8.466666666666667,9.166666666666666,3.7,8.233333333333333,4.033333333333333,6.7333333333333325,10.766666666666666,4.066666666666666,9.766666666666666,13.1,13.6,8.766666666666667,6.9,6.5,8.566666666666666,11.1,4.133333333333333,4.1000000000000005,4.733333333333333,9.366666666666664,3.4000000000000004,7.8,26.93333333333333,2.7333333333333334,9.866666666666667,3.4000000000000004,6.333333333333334,8.433333333333334,3.933333333333333,7.533333333333333
Australia,21.866666666666667,60.0,,26.53333333333333,38.73333333333333,10.066666666666666,37.66666666666666,29.166666666666668,15.0,32.83333333333333,38.333333333333336,10.133333333333333,14.033333333333331,13.900000000000002,24.066666666666663,24.166666666666668,49.1,53.23333333333333,33.233333333333334,18.8,10.266666666666667,31.73333333333333,10.7,22.566666666666663,37.96666666666667,11.033333333333331,41.06666666666667,43.63333333333333,51.9,17.633333333333333,25.3,22.766666666666666,12.9,38.333333333333336,11.1,11.0,16.166666666666664,36.93333333333334,10.6,30.833333333333336,51.9,13.133333333333333,38.93333333333333,12.266666666666666,24.433333333333334,36.1,31.633333333333336,14.366666666666667
Austria,28.53333333333333,66.33333333333333,28.8,,41.56666666666667,12.9,45.766666666666666,31.366666666666664,20.200000000000003,37.53333333333334,43.06666666666666,15.1,17.266666666666666,16.266666666666666,28.366666666666667,27.53333333333333,56.56666666666666,54.766666666666666,43.16666666666666,25.133333333333336,13.966666666666669,36.6,15.3,25.03333333333333,45.1,15.0,46.766666666666666,48.46666666666667,56.56666666666666,25.666666666666664,31.366666666666664,26.266666666666666,15.366666666666667,50.5,15.233333333333333,15.066666666666666,23.666666666666668,43.333333333333336,13.3,35.266666666666666,46.96666666666667,14.033333333333331,46.46666666666667,13.066666666666665,29.166666666666668,42.86666666666667,39.83333333333333,18.76666666666667
Belgium,17.766666666666666,58.8,21.23333333333333,16.6,,6.966666666666667,29.366666666666667,17.166666666666668,12.533333333333331,19.3,24.96666666666667,7.166666666666667,9.666666666666666,10.533333333333331,10.866666666666664,14.766666666666667,51.6,46.2,24.2,15.766666666666667,6.466666666666667,14.499999999999998,8.366666666666667,14.000000000000002,21.2,8.6,21.8,34.5,32.33333333333333,15.333333333333332,17.0,14.099999999999998,9.566666666666666,35.733333333333334,9.466666666666669,9.833333333333332,9.733333333333333,23.200000000000003,8.7,13.633333333333333,44.16666666666666,7.966666666666667,18.8,9.633333333333336,10.9,20.4,17.666666666666668,14.566666666666666
Bosnia and Herzegovina,53.266666666666666,69.86666666666666,59.23333333333333,43.4,57.9,,59.13333333333334,59.833333333333336,36.36666666666667,50.03333333333333,55.03333333333333,21.5,44.3,41.13333333333333,46.73333333333333,50.0,65.73333333333333,59.2,51.96666666666667,40.766666666666666,21.333333333333336,50.76666666666667,41.1,47.06666666666667,54.53333333333333,35.63333333333333,53.1,56.56666666666666,66.96666666666667,27.0,54.56666666666666,49.16666666666666,41.36666666666667,56.266666666666666,40.06666666666667,39.83333333333333,43.93333333333334,53.06666666666666,37.23333333333333,51.76666666666667,46.23333333333333,41.766666666666666,58.9,37.8,49.4,50.5,48.3,49.266666666666666
Brazil,18.666666666666668,28.3,21.0,16.766666666666666,27.46666666666667,9.733333333333333,,20.266666666666666,18.666666666666668,19.1,26.43333333333333,10.833333333333334,12.4,13.433333333333334,7.3,17.266666666666666,56.10000000000001,52.900000000000006,23.4,21.3,11.566666666666666,15.366666666666667,12.5,17.1,18.166666666666668,11.566666666666666,21.633333333333333,32.5,33.46666666666667,22.066666666666663,20.23333333333333,15.833333333333332,4.6,31.566666666666663,12.433333333333334,10.833333333333334,13.233333333333333,21.3,11.933333333333334,18.76666666666667,49.66666666666666,8.933333333333334,20.666666666666668,10.866666666666664,15.266666666666667,21.4,18.166666666666668,19.03333333333333
Canada,27.53333333333333,57.3,28.46666666666667,26.4,45.33333333333333,11.766666666666667,42.96666666666666,,15.533333333333331,29.3,34.5,9.7,13.733333333333334,11.733333333333333,23.5,23.633333333333333,52.36666666666666,46.13333333333333,32.46666666666667,19.2,9.866666666666667,29.86666666666667,10.4,20.4,35.833333333333336,10.766666666666666,29.5,41.43333333333333,52.53333333333333,20.7,27.23333333333333,23.9,13.1,37.06666666666666,8.266666666666666,9.566666666666666,14.766666666666667,31.8,8.433333333333334,31.0,42.6,12.3,37.4,9.7,23.833333333333336,29.666666666666668,29.76666666666667,13.366666666666664
Cape Verde,43.16666666666666,56.96666666666667,51.866666666666674,43.63333333333333,58.8,24.266666666666666,51.1,48.7,,49.9,53.36666666666666,15.866666666666667,33.36666666666667,28.7,32.766666666666666,35.46666666666667,62.83333333333333,68.16666666666666,51.76666666666667,30.166666666666668,14.733333333333334,33.93333333333333,27.133333333333333,37.43333333333334,40.93333333333333,25.8,47.03333333333333,47.0,62.96666666666667,19.6,43.4,35.16666666666667,30.666666666666664,52.43333333333333,30.866666666666664,26.866666666666667,32.13333333333333,48.266666666666666,26.866666666666667,36.6,71.83333333333334,29.03333333333333,47.7,29.4,34.03333333333333,44.23333333333333,40.63333333333333,39.5
Colombia,25.133333333333336,28.133333333333333,26.666666666666668,23.200000000000003,35.4,12.933333333333334,24.46666666666667,26.0,15.0,,36.16666666666667,11.7,12.533333333333331,11.2,6.7333333333333325,17.7,58.7,54.400000000000006,34.66666666666667,22.53333333333333,12.233333333333334,17.866666666666667,12.933333333333334,19.633333333333333,26.33333333333333,12.633333333333333,30.433333333333334,44.56666666666666,46.66666666666666,24.83333333333333,19.066666666666663,18.33333333333333,6.633333333333333,44.63333333333333,11.8,12.9,13.900000000000002,33.7,10.866666666666664,18.73333333333333,51.76666666666667,9.833333333333332,25.333333333333336,9.6,14.166666666666666,27.133333333333333,12.2,18.266666666666666
