team_a,Algeria,Argentina,Australia,Austria,Belgium,Bosnia and Herzegovina,Brazil,Canada,Cape Verde,Colombia,Croatia,Curaçao,Czech Republic,DR Congo,Ecuador,Egypt,England,France,Germany,Ghana,Haiti,Iran,Iraq,Ivory Coast,Japan,Jordan,Mexico,Morocco,Netherlands,New Zealand,Norway,Panama,Paraguay,Portugal,Qatar,Saudi Arabia,Scotland,Senegal,South Africa,South Korea,Spain,Sweden,Switzerland,Tunisia,Turkey,United States,Uruguay,Uzbekistan
Algeria,,37.833333333333336,50.16666666666667,47.06666666666667,45.46666666666667,36.03333333333333,48.0,45.0,40.66666666666666,45.8,47.66666666666667,40.0,43.56666666666666,51.23333333333333,46.63333333333333,46.13333333333333,33.1,39.53333333333333,48.8,40.86666666666667,38.266666666666666,47.96666666666667,46.93333333333333,54.16666666666666,47.2,38.266666666666666,45.56666666666666,47.9,31.366666666666664,43.23333333333333,45.7,51.6,46.2,46.46666666666667,43.36666666666667,46.400000000000006,46.16666666666666,45.73333333333333,46.0,49.73333333333333,37.63333333333333,44.03333333333334,37.16666666666666,48.333333333333336,50.23333333333333,45.766666666666666,44.36666666666667,43.16666666666666
Argentina,37.833333333333336,,31.933333333333337,27.800000000000004,32.300000000000004,26.866666666666667,67.83333333333333,32.33333333333333,35.86666666666667,68.86666666666666,42.1,25.266666666666666,24.566666666666663,25.133333333333336,43.9,27.366666666666667,38.266666666666666,42.6,47.266666666666666,30.833333333333336,34.733333333333334,35.233333333333334,24.0,27.33333333333333,32.7,29.166666666666668,36.5,41.266666666666666,35.93333333333334,38.3,24.5,31.53333333333333,49.03333333333333,41.66666666666667,28.566666666666663,22.766666666666666,22.0,36.23333333333333,23.4,31.966666666666665,41.53333333333333,18.7,27.666666666666668,26.200000000000003,27.133333333333333,32.63333333333333,41.56666666666667,25.2
Australia,50.16666666666667,31.933333333333337,,44.66666666666666,40.03333333333333,30.7,41.333333333333336,42.36666666666667,33.13333333333333,40.5,44.333333333333336,35.46666666666667,40.33333333333333,43.9,43.3,48.8,31.466666666666665,36.2,46.266666666666666,39.13333333333333,35.56666666666667,45.8,44.7,47.2,46.3,38.13333333333333,40.36666666666667,43.6,30.333333333333336,47.86666666666667,44.43333333333334,48.66666666666667,42.333333333333336,45.7,39.96666666666667,47.03333333333333,41.4,44.03333333333334,38.7,42.266666666666666,34.7,40.5,33.63333333333333,46.2,45.9,44.0,42.3,46.6
Austria,47.06666666666667,27.800000000000004,44.66666666666666,,41.833333333333336,43.7,37.46666666666666,42.23333333333333,36.16666666666667,39.266666666666666,43.53333333333333,38.3,41.86666666666667,46.766666666666666,41.2,48.43333333333334,29.666666666666668,36.3,39.16666666666666,39.33333333333333,37.8,43.63333333333333,44.2,47.96666666666667,40.46666666666667,33.86666666666667,38.0,41.36666666666667,28.5,39.0,44.266666666666666,47.266666666666666,42.833333333333336,38.6,43.06666666666666,43.2,43.3,41.7,38.9,46.16666666666666,42.43333333333334,45.03333333333333,33.766666666666666,48.06666666666667,43.43333333333334,40.43333333333333,39.33333333333333,43.2
Belgium,45.46666666666667,32.300000000000004,40.03333333333333,41.833333333333336,,35.13333333333333,43.16666666666666,37.5,28.666666666666668,45.3,45.1,25.333333333333336,38.6,34.0,36.93333333333334,36.8,29.8,39.56666666666667,50.3,32.7,27.33333333333333,41.1,33.233333333333334,34.63333333333333,47.266666666666666,28.23333333333333,43.16666666666666,46.66666666666666,40.86666666666667,33.96666666666667,33.2,36.3,28.8,45.16666666666666,29.0,30.9,33.13333333333333,48.63333333333333,30.466666666666665,44.0,40.16666666666666,29.33333333333333,39.6,34.4,34.93333333333333,48.16666666666667,42.13333333333333,32.7
Bosnia and Herzegovina,36.03333333333333,26.866666666666667,30.7,43.7,35.13333333333333,,31.133333333333336,28.4,39.36666666666667,37.03333333333333,35.7,43.833333333333336,37.6,41.63333333333333,37.23333333333333,39.53333333333333,27.03333333333333,35.16666666666667,38.2,40.0,41.7,37.2,39.6,40.66666666666666,37.8,42.96666666666666,37.2,38.53333333333334,24.7,44.1,33.93333333333333,38.2,39.93333333333333,36.96666666666666,36.8,41.73333333333333,38.3,37.2,39.93333333333333,38.5,47.833333333333336,38.1,27.200000000000003,41.86666666666667,35.7,38.1,37.9,32.233333333333334
Brazil,48.0,67.83333333333333,41.333333333333336,37.46666666666666,43.16666666666666,31.133333333333336,,36.766666666666666,30.23333333333333,56.43333333333334,49.03333333333333,28.9,37.1,39.96666666666667,52.56666666666666,40.400000000000006,31.6,38.36666666666667,51.8,33.233333333333334,26.566666666666663,46.63333333333333,38.13333333333333,43.16666666666666,59.6,30.866666666666664,47.5,49.93333333333334,40.96666666666667,37.0,36.16666666666667,40.766666666666666,52.16666666666666,48.7,34.53333333333333,35.2,34.5,50.43333333333333,35.733333333333334,45.0,39.63333333333333,30.23333333333333,46.46666666666667,37.766666666666666,37.2,52.63333333333333,62.3,37.36666666666667
Canada,45.0,32.33333333333333,42.36666666666667,42.23333333333333,37.5,28.4,36.766666666666666,,35.766666666666666,44.7,47.766666666666666,37.43333333333334,44.13333333333333,48.5,45.96666666666667,50.76666666666667,30.566666666666663,42.13333333333333,48.66666666666667,36.766666666666666,41.1,48.1,48.3,50.7,45.46666666666667,39.766666666666666,51.3,44.96666666666667,30.966666666666665,40.7,43.96666666666667,44.06666666666666,44.63333333333333,47.2,45.63333333333333,46.33333333333333,48.56666666666667,48.13333333333333,42.43333333333334,46.400000000000006,43.766666666666666,44.56666666666666,37.7,47.06666666666667,47.8,48.4,44.8,43.7
Cape Verde,40.66666666666666,35.86666666666667,33.13333333333333,36.16666666666667,28.666666666666668,39.36666666666667,30.23333333333333,35.766666666666666,,35.099999999999994,36.56666666666666,42.66666666666667,42.8,50.5,44.43333333333334,48.93333333333334,28.133333333333333,26.066666666666663,38.8,44.766666666666666,43.0,49.56666666666666,50.1,45.766666666666666,46.13333333333333,43.43333333333334,38.66666666666666,44.5,26.4,44.0,40.3,49.5,43.3,39.96666666666667,42.13333333333333,51.0,47.43333333333333,38.53333333333334,44.5,47.8,22.5,47.1,32.86666666666667,45.93333333333333,47.46666666666667,40.7,41.23333333333333,36.03333333333333
Colombia,45.8,68.86666666666666,40.5,39.266666666666666,45.3,37.03333333333333,56.43333333333334,44.7,35.099999999999994,,45.36666666666667,25.333333333333336,31.53333333333333,34.66666666666667,55.00000000000001,44.86666666666667,29.03333333333333,37.46666666666666,44.43333333333334,28.53333333333333,27.366666666666667,46.63333333333333,34.300000000000004,39.33333333333333,51.23333333333333,29.1,43.333333333333336,41.3,33.53333333333333,28.366666666666667,37.43333333333334,45.8,50.06666666666667,40.0,32.03333333333334,31.866666666666667,30.866666666666664,43.0,30.8,45.8,38.333333333333336,27.766666666666666,39.6,32.766666666666666,38.1,47.266666666666666,51.8,32.83333333333333
Croatia,47.66666666666667,42.1,44.333333333333336,43.53333333333333,45.1,35.7,49.03333333333333,47.766666666666666,36.56666666666666,45.36666666666667,,25.9,41.16666666666667,36.13333333333333,36.66666666666666,40.36666666666667,27.53333333333333,38.0,46.3,31.933333333333337,27.133333333333333,43.333333333333336,32.4,35.56666666666667,48.7,29.4,46.63333333333333,44.53333333333334,37.46666666666666,30.933333333333334,34.300000000000004,38.86666666666667,31.23333333333333,46.13333333333333,30.133333333333333,33.96666666666667,41.333333333333336,45.766666666666666,30.633333333333333,43.06666666666666,35.43333333333333,26.6,40.1,32.03333333333334,45.3,45.03333333333333,41.13333333333333,31.833333333333336
