team_a,Algeria,Argentina,Australia,Austria,Belgium,Bosnia and Herzegovina,Brazil,Canada,Cape Verde,Colombia,Croatia,Curaçao,Czech Republic,DR Congo,Ecuador,Egypt,England,France,Germany,Ghana,Haiti,Iran,Iraq,Ivory Coast,Japan,Jordan,Mexico,Morocco,Netherlands,New Zealand,Norway,Panama,Paraguay,Portugal,Qatar,Saudi Arabia,Scotland,Senegal,South Africa,South Korea,Spain,Sweden,Switzerland,Tunisia,Turkey,United States,Uruguay,Uzbekistan
Algeria,,17.433333333333334,21.73333333333333,21.7,20.53333333333333,16.166666666666664,21.766666666666666,21.0,19.066666666666663,20.566666666666663,21.133333333333333,17.533333333333335,20.3,22.433333333333334,20.933333333333334,20.866666666666667,15.433333333333332,18.166666666666668,21.8,18.9,18.03333333333333,21.066666666666663,20.53333333333333,25.066666666666663,20.4,18.5,19.666666666666664,21.4,15.8,19.566666666666663,20.933333333333334,24.3,19.966666666666665,21.1,19.133333333333333,21.0,21.46666666666667,19.933333333333334,21.6,22.73333333333333,17.1,20.03333333333333,17.5,22.133333333333333,22.133333333333333,20.833333333333336,20.366666666666667,19.26666666666667
Argentina,17.433333333333334,,16.7,18.2,17.433333333333334,19.366666666666667,31.666666666666664,15.9,16.466666666666665,33.2,18.433333333333334,18.266666666666666,18.2,18.8,19.766666666666666,18.3,17.299999999999997,19.8,20.4,15.666666666666668,17.133333333333333,16.3,18.2,17.266666666666666,15.933333333333334,18.03333333333333,16.366666666666667,18.2,16.0,17.5,18.633333333333333,17.266666666666666,21.83333333333333,18.166666666666668,18.633333333333333,18.7,18.33333333333333,17.166666666666668,17.533333333333335,16.933333333333334,19.53333333333333,20.6,18.266666666666666,18.9,18.5,16.766666666666666,19.2,18.566666666666663
Australia,21.73333333333333,16.7,,21.066666666666663,18.76666666666667,16.133333333333333,18.96666666666667,19.866666666666667,15.866666666666667,17.833333333333336,20.8,17.666666666666668,18.33333333333333,19.53333333333333,19.633333333333333,22.633333333333333,14.366666666666667,16.433333333333334,20.4,18.83333333333333,16.933333333333334,20.866666666666667,19.8,20.33333333333333,20.53333333333333,16.933333333333334,18.9,18.8,14.866666666666667,21.4,19.0,21.23333333333333,18.366666666666667,20.4,18.1,21.633333333333333,19.433333333333334,20.266666666666666,17.4,19.766666666666666,15.6,18.83333333333333,15.733333333333333,20.33333333333333,21.066666666666663,20.73333333333333,18.6,21.566666666666663
Austria,21.7,18.2,21.066666666666663,,19.166666666666668,19.7,17.2,19.666666666666664,15.9,17.866666666666667,19.766666666666666,17.666666666666668,19.366666666666667,20.866666666666667,19.5,23.200000000000003,15.4,15.733333333333333,17.666666666666668,17.566666666666666,17.533333333333335,18.96666666666667,19.933333333333334,21.666666666666668,18.866666666666667,15.4,17.8,19.03333333333333,15.366666666666667,17.7,19.7,21.633333333333333,19.466666666666665,17.0,19.666666666666664,20.366666666666667,19.366666666666667,18.5,17.233333333333334,20.433333333333334,19.4,19.8,14.8,21.96666666666667,19.466666666666665,18.8,18.433333333333334,19.03333333333333
Belgium,20.53333333333333,17.433333333333334,18.76666666666667,19.166666666666668,,15.5,19.4,16.666666666666664,15.733333333333333,21.866666666666667,20.5,17.5,17.066666666666666,15.4,18.33333333333333,17.433333333333334,15.533333333333331,18.4,23.133333333333333,15.2,18.866666666666667,19.53333333333333,17.2,15.733333333333333,21.333333333333336,17.766666666666666,20.03333333333333,19.966666666666665,19.2,15.3,15.2,16.3,17.933333333333334,20.833333333333336,16.866666666666667,17.233333333333334,15.7,22.6,17.166666666666668,20.23333333333333,19.0,16.266666666666666,17.96666666666667,16.966666666666665,16.2,22.566666666666663,18.76666666666667,15.2
Bosnia and Herzegovina,16.166666666666664,19.366666666666667,16.133333333333333,19.7,15.5,,16.966666666666665,16.866666666666667,17.833333333333336,16.53333333333333,16.133333333333333,20.133333333333333,17.8,19.766666666666666,16.966666666666665,18.7,18.03333333333333,17.166666666666668,16.966666666666665,18.0,19.4,16.633333333333333,18.03333333333333,18.566666666666663,16.866666666666667,19.966666666666665,16.2,16.8,17.333333333333336,20.266666666666666,15.466666666666669,17.366666666666667,18.76666666666667,16.8,17.4,19.5,17.533333333333335,16.900000000000002,17.2,18.0,21.266666666666666,17.933333333333334,15.666666666666668,19.366666666666667,15.733333333333333,18.33333333333333,18.7,14.733333333333334
Brazil,21.766666666666666,31.666666666666664,18.96666666666667,17.2,19.4,16.966666666666665,,17.0,14.766666666666667,24.96666666666667,22.766666666666666,16.8,16.6,17.7,24.1,18.2,15.466666666666669,17.1,23.466666666666665,14.866666666666667,16.233333333333334,20.73333333333333,16.966666666666665,19.0,26.866666666666667,16.366666666666667,20.766666666666666,22.7,18.633333333333333,17.033333333333335,17.266666666666666,18.53333333333333,23.666666666666668,22.9,15.6,16.2,15.533333333333331,22.7,15.333333333333332,20.633333333333333,18.03333333333333,15.766666666666667,21.3,17.033333333333335,16.566666666666666,24.1,27.700000000000003,17.0
Canada,21.0,15.9,19.866666666666667,19.666666666666664,16.666666666666664,16.866666666666667,17.0,,16.266666666666666,21.433333333333334,23.23333333333333,17.466666666666665,20.433333333333334,21.0,21.0,22.83333333333333,15.3,19.066666666666663,22.366666666666667,17.2,18.6,23.6,22.8,22.066666666666663,20.9,18.166666666666668,24.1,20.633333333333333,15.2,18.366666666666667,20.266666666666666,19.866666666666667,20.8,20.96666666666667,20.266666666666666,20.433333333333334,21.566666666666663,21.6,18.5,19.8,19.366666666666667,20.0,17.066666666666666,20.066666666666663,21.933333333333334,21.933333333333334,20.5,20.633333333333333
Cape Verde,19.066666666666663,16.466666666666665,15.866666666666667,15.9,15.733333333333333,17.833333333333336,14.766666666666667,16.266666666666666,,16.5,16.666666666666664,19.2,19.7,22.166666666666668,18.76666666666667,22.83333333333333,17.566666666666666,17.433333333333334,18.2,19.7,20.23333333333333,23.33333333333333,22.133333333333333,21.133333333333333,21.0,20.3,18.03333333333333,19.5,16.333333333333332,20.4,17.7,22.83333333333333,20.5,17.299999999999997,19.7,22.23333333333333,21.2,17.333333333333336,20.7,22.0,19.53333333333333,22.066666666666663,14.933333333333335,20.0,20.466666666666665,19.066666666666663,19.133333333333333,16.466666666666665
Colombia,20.566666666666663,33.2,17.833333333333336,17.866666666666667,21.866666666666667,16.53333333333333,24.96666666666667,21.433333333333334,16.5,,21.366666666666667,16.0,15.966666666666669,16.1,25.1,18.96666666666667,16.8,16.266666666666666,20.3,14.933333333333335,16.233333333333334,20.166666666666664,15.7,17.666666666666668,24.0,15.1,20.366666666666667,19.166666666666668,15.333333333333332,14.566666666666666,17.166666666666668,21.933333333333334,22.5,18.03333333333333,15.566666666666668,15.533333333333331,15.533333333333331,19.83333333333333,16.166666666666664,19.23333333333333,17.666666666666668,16.8,18.933333333333334,16.8,16.03333333333333,22.133333333333333,24.133333333333333,15.3
Croatia,21.133333333333333,18.433333333333334,20.8,19.766666666666666,20.5,16.133333333333333,22.766666666666666,23.23333333333333,16.666666666666664,21.366666666666667,,18.73333333333333,18.53333333333333,16.633333333333333,15.833333333333332,18.73333333333333,13.533333333333331,17.933333333333334,20.266666666666666,15.733333333333333,17.266666666666666,19.6,17.133333333333333,16.133333333333333,21.266666666666666,16.53333333333333,21.23333333333333,20.5,16.6,16.03333333333333,15.3,17.066666666666666,16.333333333333332,21.0,17.166666666666668,16.0,18.933333333333334,20.23333333333333,16.866666666666667,20.0,15.833333333333332,16.8,17.4,17.0,19.566666666666663,20.3,18.5,16.833333333333332
Curaçao,17.533333333333335,18.266666666666666,17.666666666666668,17.666666666666668,17.5,20.133333333333333,16.8,17.466666666666665,19.2,16.0,18.73333333333333,,17.533333333333335,19.466666666666665,20.366666666666667,18.7,17.766666666666666,18.366666666666667,17.666666666666668,17.066666666666666,19.766666666666666,19.73333333333333,19.83333333333333,17.4,16.666666666666664,17.666666666666668,16.133333333333333,17.533333333333335,17.466666666666665,19.633333333333333,16.3,20.53333333333333,17.9,16.400000000000002,17.1,19.766666666666666,17.366666666666667,17.7,18.0,17.666666666666668,18.666666666666668,17.333333333333336,17.466666666666665,20.53333333333333,16.966666666666665,17.566666666666666,15.2,15.5
Czech Republic,20.3,18.2,18.33333333333333,19.366666666666667,17.066666666666666,17.8,16.6,20.433333333333334,19.7,15.966666666666669,18.53333333333333,17.533333333333335,,22.8,17.96666666666667,19.2,18.03333333333333,17.5,18.666666666666668,20.1,16.766666666666666,19.866666666666667,21.0,21.1,16.633333333333333,19.966666666666665,17.366666666666667,17.866666666666667,17.0,17.766666666666666,15.766666666666667,18.4,21.0,18.266666666666666,20.766666666666666,21.366666666666667,19.466666666666665,17.166666666666668,19.966666666666665,18.4,16.666666666666664,20.0,16.3,21.066666666666663,17.233333333333334,19.03333333333333,17.466666666666665,18.96666666666667
DR Congo,22.433333333333334,18.8,19.53333333333333,20.866666666666667,15.4,19.766666666666666,17.7,21.0,22.166666666666668,16.1,16.633333333333333,19.466666666666665,22.8,,18.133333333333333,17.933333333333334,18.73333333333333,16.8,20.766666666666666,23.3,16.733333333333334,20.53333333333333,22.7,18.46666666666667,18.46666666666667,19.166666666666668,17.7,18.133333333333333,16.233333333333334,16.166666666666664,15.833333333333332,19.73333333333333,18.433333333333334,18.266666666666666,19.33333333333333,21.066666666666663,19.2,19.73333333333333,20.133333333333333,18.266666666666666,17.033333333333335,18.933333333333334,14.633333333333336,20.566666666666663,17.8,18.2,17.1,18.266666666666666
