team_a,Algeria,Argentina,Australia,Austria,Belgium,Bosnia and Herzegovina,Brazil,Canada,Cape Verde,Colombia,Croatia,Curaçao,Czech Republic,DR Congo,Ecuador,Egypt,England,France,Germany,Ghana,Haiti,Iran,Iraq,Ivory Coast,Japan,Jordan,Mexico,Morocco,Netherlands,New Zealand,Norway,Panama,Paraguay,Portugal,Qatar,Saudi Arabia,Scotland,Senegal,South Africa,South Korea,Spain,Sweden,Switzerland,Tunisia,Turkey,United States,Uruguay,Uzbekistan
Algeria,,4.178333333333334,4.77,4.554333333333333,4.407666666666667,4.280333333333333,4.608666666666666,4.368333333333333,4.018666666666666,4.438,4.584666666666666,4.038333333333333,4.258,4.876,4.5136666666666665,4.454666666666666,4.112,4.1146666666666665,4.669,4.0296666666666665,4.222666666666667,4.607,4.511333333333333,5.138333333333334,4.530666666666667,4.024333333333334,4.386333333333333,4.5953333333333335,4.184,4.218,4.4366666666666665,4.942333333333333,4.442333333333333,4.491666666666666,4.206666666666667,4.472,4.466333333333333,4.41,4.444,4.758333333333334,4.105,4.285,3.733333333333333,4.633,4.785666666666667,4.435,4.318666666666667,4.199
Argentina,4.178333333333334,,4.725333333333333,5.113333333333333,4.684333333333333,5.339,6.282,4.534666666666666,4.538333333333333,6.392666666666667,4.1,5.369,5.338,5.363,4.4,5.109,3.8133333333333335,4.179,4.534,4.664333333333333,4.828,4.5023333333333335,5.406666666666666,5.041,4.499333333333333,5.124,4.315666666666667,4.0263333333333335,4.097,4.271,5.247333333333334,4.833,4.681333333333333,4.063,5.174333333333333,5.469333333333333,5.46,4.39,5.4526666666666666,4.734,4.096333333333333,5.847,4.913333333333333,5.381666666666667,5.096,4.652,4.430666666666666,5.145333333333333
Australia,4.77,4.725333333333333,,4.3693333333333335,3.9676666666666662,4.634333333333333,4.062666666666667,4.165666666666667,4.256333333333333,3.983,4.3293333333333335,4.376666666666667,3.9656666666666665,4.2636666666666665,4.232333333333333,4.694,3.999333333333333,4.301,4.459333333333333,3.8966666666666665,4.366333333333333,4.436333333333334,4.325333333333333,4.531333333333333,4.455333333333333,4.157333333333334,3.991333333333333,4.228,4.178333333333334,4.589,4.301666666666667,4.658,4.116,4.417,4.022333333333333,4.536,4.083666666666667,4.281,4.172333333333333,4.16,4.175,3.986666666666667,3.441333333333333,4.446,4.449,4.308333333333334,4.129666666666667,4.503
Austria,4.554333333333333,5.113333333333333,4.3693333333333335,,4.109,4.241333333333333,3.812,4.146,3.7123333333333335,3.9006666666666665,4.237666666666667,3.856,4.112333333333333,4.502666666666666,4.075333333333333,4.679666666666667,4.457666666666666,4.39,3.8756666666666666,3.889,4.023333333333333,4.237,4.298666666666667,4.613666666666667,3.989,4.150333333333333,3.888,4.048,4.447666666666667,3.867333333333333,4.314666666666667,4.565666666666667,4.181,4.195333333333333,4.193666666666667,4.236,4.218666666666667,4.075,3.962,4.453333333333333,4.151,4.3486666666666665,3.852333333333333,4.607333333333333,4.228666666666666,3.987333333333333,3.898,4.199666666666666
Belgium,4.407666666666667,4.684333333333333,3.9676666666666662,4.109,,4.572333333333333,4.215,3.783,4.594666666666667,4.417,4.379333333333333,5.118333333333333,4.262666666666667,4.417333333333334,4.222666666666667,3.987333333333333,4.184333333333333,3.911,4.812666666666667,4.169,5.096,4.044,4.645333333333333,4.172333333333333,4.554666666666667,4.908333333333333,4.225333333333333,4.487,4.0296666666666665,4.119666666666666,4.091333333333333,4.046,4.849,4.375666666666667,4.804333333333333,4.6866666666666665,4.503666666666667,4.688,4.773,4.280666666666667,3.9726666666666666,4.823666666666667,3.92,4.504333333333333,4.323666666666667,4.652,4.125333333333334,4.2556666666666665
Bosnia and Herzegovina,4.280333333333333,5.339,4.634333333333333,4.241333333333333,4.572333333333333,,4.67,4.688666666666666,3.895,4.137,4.408,4.273333333333333,3.762333333333333,4.108,3.863333333333333,4.173,5.07,4.681666666666667,4.248,3.961333333333333,4.109,4.1593333333333335,3.929333333333333,3.993333333333333,4.397333333333333,4.2156666666666665,4.304,4.544,5.107,4.299333333333333,4.327,4.077,3.9526666666666666,4.506666666666667,3.7006666666666663,4.118333333333333,3.802666666666666,4.277,3.921,4.214666666666667,4.603,3.794666666666666,4.580333333333333,4.122,4.074,4.133333333333334,4.067,3.996
Brazil,4.608666666666666,6.282,4.062666666666667,3.812,4.215,4.67,,3.6966666666666663,4.1066666666666665,5.298666666666667,4.719333333333333,4.724666666666667,4.095666666666666,3.933666666666667,4.9863333333333335,3.9743333333333335,4.4463333333333335,4.286,4.935666666666667,3.7523333333333335,4.771,4.49,4.027,4.185,5.580333333333333,4.550333333333334,4.551,4.769666666666667,4.037333333333334,3.7003333333333335,3.707666666666667,4.003,4.964333333333333,4.695,4.273333333333333,4.357666666666667,4.251666666666667,4.824333333333334,4.235666666666667,4.376,4.123666666666667,4.716333333333333,4.495,4.171666666666667,3.935666666666666,5.006333333333333,5.793,3.7363333333333335
Canada,4.368333333333333,4.534666666666666,4.165666666666667,4.146,3.783,4.688666666666666,3.6966666666666663,,4.016666666666667,4.363666666666667,4.628666666666667,4.276,4.294,4.634333333333333,4.46,4.836,4.233666666666666,4.112,4.674,3.7316666666666665,4.082,4.658333333333333,4.649333333333334,4.818333333333333,4.400666666666667,4.047,4.915333333333334,4.361,4.226333333333334,4.0056666666666665,4.286333333333333,4.287333333333334,4.336,4.526666666666666,4.398666666666666,4.479333333333333,4.65,4.6353333333333335,4.127,4.45,4.242,4.316333333333334,3.7666666666666666,4.514333333333333,4.608333333333333,4.646333333333334,4.354,4.273666666666666
Cape Verde,4.018666666666666,4.538333333333333,4.256333333333333,3.7123333333333335,4.594666666666667,3.895,4.1066666666666665,4.016666666666667,,4.063,4.334,4.163666666666667,4.190333333333333,4.807666666666667,4.286,4.704666666666666,4.882,5.1946666666666665,4.248333333333333,4.325666666666667,4.211666666666667,4.752,4.791666666666667,4.410666666666667,4.445666666666667,4.253,3.8886666666666665,4.317,4.834,4.292,3.967333333333333,4.745333333333333,4.248,4.254,4.147333333333333,4.857333333333333,4.569,3.962,4.347666666666667,4.596333333333333,5.447666666666667,4.562666666666667,3.903333333333333,4.433333333333334,4.548666666666667,4.0136666666666665,4.057666666666667,3.6306666666666665
Colombia,4.438,6.392666666666667,3.983,3.9006666666666665,4.417,4.137,5.298666666666667,4.363666666666667,4.063,,4.421,4.809,4.434333333333333,4.372333333333334,5.188,4.326333333333333,4.629666666666667,4.413333333333333,4.3213333333333335,3.991333333333333,4.679666666666667,4.487333333333333,4.252666666666666,3.889666666666667,4.908,4.541666666666667,4.242333333333334,4.062,3.8666666666666663,3.8466666666666662,3.744666666666667,4.461,4.764333333333333,3.9423333333333335,4.458666666666667,4.356,4.38,4.213,4.608333333333333,4.397333333333333,4.248333333333333,4.821,3.936,4.586,3.920333333333333,4.572,4.941333333333334,4.005
Croatia,4.584666666666666,4.1,4.3293333333333335,4.237666666666667,4.379333333333333,4.408,4.719333333333333,4.628666666666667,4.334,4.421,,5.213,4.144666666666667,4.3933333333333335,4.281,3.984333333333333,3.806,3.793333333333333,4.458666666666667,4.232,5.052666666666667,4.216333333333333,4.707333333333334,4.207666666666666,4.660666666666667,4.886333333333333,4.503333333333333,4.328333333333333,3.735,4.381,4.042666666666666,3.952,4.738,4.462666666666666,4.850666666666666,4.591666666666667,4.057,4.425333333333334,4.734666666666667,4.207,3.571333333333333,5.0456666666666665,3.9346666666666663,4.772333333333333,4.373666666666667,4.358333333333333,4.028666666666667,4.451333333333333
Curaçao,4.038333333333333,5.369,4.376666666666667,3.856,5.118333333333333,4.273333333333333,4.724666666666667,4.276,4.163666666666667,4.809,5.213,,3.9006666666666665,4.163333333333333,4.0696666666666665,4.009333333333333,5.447,5.461666666666667,4.503,4.065,4.177,4.224333333333333,4.250333333333334,4.346333333333333,4.486,3.894333333333333,4.596333333333333,4.504333333333333,5.06,4.192333333333333,4.085666666666667,4.310333333333333,3.893666666666667,4.649,3.790666666666666,4.181333333333333,3.8596666666666666,4.445666666666667,4.077,4.074,5.585333333333334,3.837666666666667,4.908666666666667,4.332666666666666,3.83,4.712,4.334333333333333,4.241666666666666
Czech Republic,4.258,5.338,3.9656666666666665,4.112333333333333,4.262666666666667,3.762333333333333,4.095666666666666,4.294,4.190333333333333,4.434333333333333,4.144666666666667,3.9006666666666665,,4.781333333333333,3.892333333333333,3.944,5.152666666666667,4.886,4.058666666666666,4.378666666666667,3.872333333333333,4.283,4.553333333333334,4.242333333333334,4.038,4.249666666666666,4.36,4.69,4.965333333333334,3.754333333333333,4.009666666666667,4.051333333333333,4.356,4.111666666666666,4.375333333333334,4.38,4.199666666666666,4.344333333333333,4.224333333333333,3.974666666666667,4.517,4.258,4.407666666666667,4.468333333333334,3.717,3.939,3.986666666666667,4.109
DR Congo,4.876,5.363,4.2636666666666665,4.502666666666666,4.417333333333334,4.108,3.933666666666667,4.634333333333333,4.807666666666667,4.372333333333334,4.3933333333333335,4.163333333333333,4.781333333333333,,3.9623333333333335,3.831333333333333,5.038,4.589666666666667,4.426666666666667,4.728666666666666,4.117,4.288,4.641666666666667,3.879333333333333,4.008,4.122333333333334,4.068,4.124333333333333,4.577,3.643,3.865666666666667,4.060666666666667,4.092666666666666,4.056666666666667,4.148666666666666,4.492,4.066,4.250333333333334,4.331666666666667,4.042666666666666,4.483,4.164333333333333,4.254666666666667,4.455,3.845666666666667,3.967,3.887333333333333,3.9863333333333335
