team_a,Algeria,Argentina,Australia,Austria,Belgium,Bosnia and Herzegovina,Brazil,Canada,Cape Verde,Colombia,Croatia,Curaçao,Czech Republic,DR Congo,Ecuador,Egypt,England,France,Germany,Ghana,Haiti,Iran,Iraq,Ivory Coast,Japan,Jordan,Mexico,Morocco,Netherlands,New Zealand,Norway,Panama,Paraguay,Portugal,Qatar,Saudi Arabia,Scotland,Senegal,South Africa,South Korea,Spain,Sweden,Switzerland,Tunisia,Turkey,United States,Uruguay,Uzbekistan
Algeria,,0-1,1-1,1-1,1-1,1-0,1-1,1-1,1-1,1-1,1-1,1-0,1-1,1-1,1-1,1-1,0-1,0-1,1-1,1-1,1-0,1-1,0-0,1-1,1-1,1-0,0-0,1-1,0-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,0-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1
Argentina,1-0,,1-0,1-0,1-0,1-0,0-0,1-0,1-0,0-0,1-1,1-0,1-0,1-0,1-0,1-0,1-1,1-1,0-0,1-0,1-0,1-0,1-0,1-0,1-0,1-0,1-0,1-1,1-0,1-0,1-0,1-0,1-1,0-0,1-0,1-0,1-0,1-0,1-0,1-0,1-1,1-0,1-0,1-0,1-0,1-0,1-0,1-0
Australia,1-1,0-1,,1-1,1-1,1-0,1-1,1-1,1-0,1-1,1-1,1-0,1-1,1-1,1-1,1-1,0-1,0-1,1-1,1-1,1-0,1-1,1-1,1-1,1-1,1-0,1-1,0-0,0-1,1-1,1-1,1-1,0-0,1-1,1-0,1-1,1-1,1-1,1-0,1-1,0-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1
Austria,1-1,0-1,1-1,,1-1,1-1,0-1,1-1,1-0,1-1,1-1,1-0,1-1,1-1,1-1,1-1,0-1,0-1,1-1,1-1,1-0,1-1,1-1,1-1,1-1,1-0,0-1,1-1,0-1,1-1,1-1,1-1,1-1,0-1,1-1,1-1,1-1,1-1,1-0,1-1,1-1,0-0,0-1,1-1,1-1,1-1,1-1,1-1
Belgium,1-1,0-1,1-1,1-1,,1-0,1-1,1-0,1-0,1-1,1-1,1-0,1-0,1-0,1-0,1-0,0-1,1-1,1-1,1-0,1-0,1-1,1-0,1-0,1-1,1-0,1-1,1-1,1-1,1-0,1-0,1-0,1-0,1-1,1-0,1-0,1-0,1-1,1-0,1-1,1-1,1-0,1-1,1-0,1-0,1-1,1-1,1-0
Bosnia and Herzegovina,0-1,0-1,0-1,1-1,0-1,,0-1,0-1,1-1,0-1,0-1,1-1,1-1,1-1,0-1,0-1,0-1,0-1,0-1,1-1,1-1,0-1,1-1,1-1,0-1,1-1,0-1,0-1,0-1,1-1,0-1,0-1,1-1,0-1,1-1,1-1,1-1,0-1,1-1,0-1,0-0,1-1,0-1,1-1,0-1,0-1,0-1,0-1
Brazil,1-1,0-0,1-1,1-0,1-1,1-0,,1-1,1-0,1-1,1-1,1-0,1-0,0-0,1-1,1-1,0-1,0-1,1-1,1-0,1-0,1-1,1-0,0-0,1-1,1-0,1-1,1-1,1-1,1-1,1-0,1-1,0-0,1-1,1-0,1-0,1-0,1-1,1-0,1-1,0-1,1-0,1-1,1-0,1-0,1-1,0-0,1-1
Canada,1-1,0-1,1-1,1-1,0-1,1-0,1-1,,1-0,1-1,1-1,1-0,1-1,1-1,1-1,1-1,0-1,1-1,1-1,1-0,1-0,1-1,1-1,0-0,1-1,1-0,1-1,1-1,0-1,1-1,1-1,1-1,1-1,1-1,0-0,0-0,1-1,1-1,0-0,1-1,0-0,1-1,1-1,0-0,1-1,1-1,1-1,1-1
Cape Verde,1-1,0-1,0-1,0-1,0-1,1-1,0-1,0-1,,0-1,0-1,1-1,1-1,1-1,0-0,1-1,0-1,0-1,0-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,0-1,0-0,0-1,1-1,1-1,1-1,1-1,0-1,1-1,1-1,1-1,0-1,1-1,1-1,0-1,1-1,0-1,1-1,0-0,1-1,1-1,1-1
Colombia,1-1,0-0,1-1,1-1,1-1,1-0,1-1,1-1,1-0,,1-1,1-0,1-0,1-0,1-1,1-1,0-1,0-1,1-1,1-0,1-0,1-1,1-0,1-1,1-1,1-0,1-1,1-1,0-1,1-0,1-1,1-1,0-0,1-1,1-0,1-0,1-0,1-1,1-0,1-1,0-1,1-0,1-1,1-0,1-0,1-1,1-1,1-0
Croatia,1-1,1-1,1-1,1-1,1-1,1-0,1-1,1-1,1-0,1-1,,1-0,1-0,1-0,1-0,1-1,0-1,1-1,1-1,1-0,1-0,1-1,1-0,1-0,1-1,1-0,1-1,1-1,1-1,1-0,1-0,1-0,1-0,1-1,1-0,1-0,1-0,1-1,1-0,1-1,1-1,1-0,1-1,1-0,0-0,1-1,1-1,1-0
Curaçao,0-1,0-1,0-1,0-1,0-1,1-1,0-1,0-1,1-1,0-1,0-1,,1-1,1-1,1-1,1-1,0-1,0-1,0-1,0-1,1-1,1-1,1-1,0-1,0-1,1-1,0-1,0-1,0-1,1-1,0-1,1-1,1-1,0-1,1-1,1-1,0-1,0-1,1-1,0-1,0-1,0-1,0-1,1-1,1-1,0-1,0-1,0-1
