team_a,Algeria,Argentina,Australia,Austria,Belgium,Bosnia and Herzegovina,Brazil,Canada,Cape Verde,Colombia,Croatia,Curaçao,Czech Republic,DR Congo,Ecuador,Egypt,England,France,Germany,Ghana,Haiti,Iran,Iraq,Ivory Coast,Japan,Jordan,Mexico,Morocco,Netherlands,New Zealand,Norway,Panama,Paraguay,Portugal,Qatar,Saudi Arabia,Scotland,Senegal,South Africa,South Korea,Spain,Sweden,Switzerland,Tunisia,Turkey,United States,Uruguay,Uzbekistan
Algeria,,10.6,21.866666666666667,28.53333333333333,17.766666666666666,53.266666666666666,18.666666666666668,27.53333333333333,43.16666666666666,25.133333333333336,16.900000000000002,48.86666666666667,43.6,35.03333333333333,29.7,28.5,16.6,10.7,18.1,39.66666666666666,51.6,20.96666666666667,42.6,26.466666666666665,17.066666666666666,48.5,17.866666666666667,12.4,17.1,37.8,27.700000000000003,26.43333333333333,40.5,14.6,46.5,43.7,36.93333333333334,24.46666666666667,45.0,19.633333333333333,12.633333333333333,44.43333333333334,25.1,40.96666666666667,26.666666666666668,20.03333333333333,25.633333333333336,42.833333333333336
Argentina,51.56666666666667,,60.0,66.33333333333333,58.8,69.86666666666666,28.3,57.3,56.96666666666667,28.133333333333333,45.96666666666667,71.36666666666667,71.06666666666666,70.89999999999999,53.56666666666666,66.3,39.93333333333333,30.03333333333333,44.266666666666666,60.0,61.56666666666667,56.53333333333334,71.96666666666667,65.93333333333334,56.53333333333334,66.76666666666667,53.73333333333333,45.63333333333333,50.46666666666667,52.93333333333333,68.60000000000001,61.96666666666667,42.4,47.23333333333333,67.30000000000001,73.13333333333333,73.26666666666667,54.400000000000006,73.2,60.23333333333334,31.53333333333333,78.56666666666666,62.46666666666667,70.39999999999999,66.53333333333333,58.93333333333334,54.50000000000001,67.26666666666667
Australia,27.96666666666667,8.066666666666666,,28.8,21.23333333333333,59.23333333333333,21.0,28.46666666666667,51.866666666666674,26.666666666666668,17.333333333333336,54.400000000000006,45.63333333333333,42.2,32.63333333333333,27.03333333333333,19.433333333333334,10.566666666666666,20.5,42.06666666666667,54.16666666666666,22.466666666666665,44.6,30.23333333333333,15.733333333333333,50.83333333333333,18.566666666666663,12.766666666666667,17.766666666666666,34.5,30.266666666666666,28.566666666666663,44.766666666666666,15.966666666666669,48.93333333333334,41.96666666666667,42.43333333333334,19.03333333333333,50.7,26.9,13.4,46.36666666666667,27.43333333333333,41.53333333333333,29.666666666666668,19.9,26.066666666666663,39.03333333333333
Austria,24.4,5.866666666666666,26.53333333333333,,16.6,43.4,16.766666666666666,26.4,43.63333333333333,23.200000000000003,13.4,46.6,40.86666666666667,36.96666666666666,30.433333333333334,24.03333333333333,13.766666666666666,8.933333333333334,17.666666666666668,35.53333333333333,48.23333333333333,19.766666666666666,40.5,27.0,14.433333333333334,51.13333333333333,15.233333333333333,10.166666666666666,14.933333333333335,35.333333333333336,24.366666666666667,26.466666666666665,41.8,10.9,41.7,41.73333333333333,33.03333333333333,14.966666666666669,47.8,18.566666666666663,10.6,40.93333333333333,19.766666666666666,38.86666666666667,27.4,16.7,20.833333333333336,38.03333333333334
Belgium,36.766666666666666,8.9,38.73333333333333,41.56666666666667,,57.9,27.46666666666667,45.33333333333333,58.8,35.4,29.933333333333334,67.5,51.73333333333333,55.46666666666666,52.2,48.43333333333334,18.6,14.233333333333334,25.5,51.53333333333333,66.2,44.4,58.4,51.366666666666674,31.53333333333333,63.16666666666667,35.03333333333333,18.83333333333333,26.8,50.7,49.8,49.6,61.633333333333326,19.1,61.53333333333333,59.266666666666666,57.13333333333333,28.166666666666668,60.83333333333333,42.36666666666667,15.666666666666668,62.7,41.6,55.96666666666666,54.16666666666666,31.433333333333337,40.2,52.73333333333333
Bosnia and Herzegovina,10.7,3.266666666666666,10.066666666666666,12.9,6.966666666666667,,9.733333333333333,11.766666666666667,24.266666666666666,12.933333333333334,9.266666666666666,34.66666666666667,18.1,17.233333333333334,16.03333333333333,10.466666666666669,7.233333333333333,5.633333333333333,9.833333333333332,19.23333333333333,36.96666666666666,12.033333333333331,19.3,12.266666666666666,7.666666666666666,21.4,9.7,4.9,8.333333333333332,28.9,11.5,12.633333333333333,18.7,6.766666666666667,23.133333333333333,18.433333333333334,17.766666666666666,9.733333333333333,22.83333333333333,9.733333333333333,5.933333333333334,20.133333333333333,13.900000000000002,20.33333333333333,14.9,11.4,13.8,18.5
Brazil,33.33333333333333,3.8666666666666663,37.66666666666666,45.766666666666666,29.366666666666667,59.13333333333334,,42.96666666666666,51.1,24.46666666666667,24.53333333333333,60.266666666666666,50.5,46.6,40.13333333333333,42.333333333333336,12.3,8.733333333333333,24.8,45.46666666666667,61.86666666666667,38.0,49.36666666666667,39.73333333333333,22.23333333333333,57.56666666666666,30.866666666666664,17.566666666666666,25.566666666666663,40.93333333333333,43.6,43.4,43.23333333333333,19.73333333333333,53.03333333333333,53.96666666666666,52.26666666666666,28.26666666666667,52.33333333333333,36.23333333333333,10.7,60.83333333333333,32.86666666666667,51.366666666666674,47.53333333333333,25.966666666666665,19.53333333333333,43.6
Canada,27.46666666666667,10.366666666666667,29.166666666666668,31.366666666666664,17.166666666666668,59.833333333333336,20.266666666666666,,48.7,26.0,17.733333333333334,52.86666666666666,42.13333333333333,39.766666666666666,30.53333333333333,25.6,17.066666666666666,11.733333333333333,18.866666666666667,44.03333333333334,49.03333333333333,22.03333333333333,41.3,28.9,18.7,49.46666666666666,19.2,13.6,16.5,38.6,28.8,32.03333333333334,42.266666666666666,15.733333333333333,46.1,44.1,36.66666666666666,20.066666666666663,49.13333333333333,22.6,13.633333333333333,43.13333333333333,24.9,43.23333333333333,28.366666666666667,21.933333333333334,25.433333333333337,42.93333333333334
Cape Verde,16.166666666666664,7.166666666666667,15.0,20.200000000000003,12.533333333333331,36.36666666666667,18.666666666666668,15.533333333333331,,15.0,10.066666666666666,41.46666666666667,23.833333333333336,20.8,22.8,15.6,9.033333333333331,5.766666666666667,9.433333333333334,25.066666666666663,42.266666666666666,16.5,22.766666666666666,16.8,12.933333333333334,30.766666666666666,14.3,8.5,10.633333333333333,36.4,16.3,15.333333333333332,26.03333333333333,7.6,27.0,22.133333333333333,20.433333333333334,13.2,28.633333333333333,15.6,5.666666666666666,23.866666666666667,19.433333333333334,24.666666666666668,18.5,15.066666666666666,18.133333333333333,24.46666666666667
Colombia,29.06666666666667,3.0,32.83333333333333,37.53333333333334,19.3,50.03333333333333,19.1,29.3,49.9,,18.46666666666667,62.96666666666667,55.93333333333334,54.13333333333333,38.266666666666666,37.43333333333334,12.266666666666666,8.133333333333333,20.9,48.93333333333334,60.4,35.5,52.76666666666666,41.03333333333333,22.433333333333334,58.266666666666666,26.23333333333333,14.133333333333336,19.8,46.8,43.5,35.86666666666667,43.3,15.366666666666667,56.16666666666666,55.23333333333333,55.23333333333333,23.3,58.333333333333336,35.46666666666667,9.9,62.4,35.06666666666667,57.63333333333334,47.73333333333333,25.6,36.0,48.9
